5.091706e+01 -nan -nan -nan -nan
7.814832e+03 -3.463838e-06 -2.814168e-05 1.077955e-01 5.572702e-02
7.915662e+03 -3.407540e-06 -2.644677e-05 1.054279e-01 5.348167e-02
8.016492e+03 -4.132328e-06 -1.055792e-05 1.023743e-01 5.053130e-02
8.117322e+03 -3.035586e-06 -2.309084e-05 1.023204e-01 5.029313e-02
8.218152e+03 -3.860819e-06 -3.353018e-05 1.050393e-01 5.488372e-02
8.318982e+03 -2.901061e-06 -1.900284e-05 1.055851e-01 5.349676e-02
8.419812e+03 -4.632768e-06 -5.512192e-05 1.074037e-01 5.532920e-02
8.520642e+03 -4.027958e-06 -3.350748e-05 1.042834e-01 5.223317e-02
8.621472e+03 -4.630110e-06 -2.852374e-05 1.018618e-01 4.976833e-02
8.722302e+03 -4.157547e-06 -5.626135e-05 1.009270e-01 4.952037e-02
8.823132e+03 -3.746496e-06 -2.899156e-05 1.057449e-01 5.364694e-02
8.923962e+03 -3.727050e-06 -2.724504e-05 1.051773e-01 5.308871e-02
9.024792e+03 -3.604129e-06 -2.884143e-05 1.044104e-01 5.231185e-02
9.125622e+03 -3.497643e-06 -2.886348e-05 1.033177e-01 5.121568e-02
9.226452e+03 -3.648395e-06 -3.079040e-05 1.038658e-01 5.167709e-02
9.327282e+03 -3.795615e-06 -3.176122e-05 1.043683e-01 5.217825e-02
9.428112e+03 -2.652201e-06 -2.197615e-05 1.093153e-01 5.834934e-02
9.528942e+03 -3.824535e-06 -2.845205e-05 1.054353e-01 5.357158e-02
9.629772e+03 -3.561679e-06 -2.945675e-05 1.051244e-01 5.286584e-02
9.730602e+03 -3.111473e-06 -2.393691e-05 1.030283e-01 5.071719e-02
9.831432e+03 -3.852316e-06 -1.883931e-05 1.022736e-01 4.997692e-02
9.932262e+03 -3.189497e-06 -2.432269e-05 1.049018e-01 5.264188e-02
1.003309e+04 -2.927992e-06 -2.273628e-05 1.085396e-01 5.632388e-02
1.013392e+04 -2.913073e-06 -2.178676e-05 1.014484e-01 4.910096e-02
1.023475e+04 -3.616653e-06 -2.848681e-05 1.027940e-01 5.050471e-02
1.033558e+04 -3.006329e-06 -4.410024e-05 1.099713e-01 5.984154e-02
1.043641e+04 -2.758075e-06 -2.169482e-05 9.998702e-02 4.769636e-02
1.053724e+04 -2.681370e-06 -2.149579e-05 1.089115e-01 5.659071e-02
1.063807e+04 -3.098471e-06 -1.391837e-05 1.035193e-01 5.125126e-02
1.073890e+04 -3.182304e-06 -2.402331e-05 1.032473e-01 5.091152e-02
1.083973e+04 -2.739874e-06 -1.486132e-05 1.069923e-01 5.469775e-02
1.094056e+04 -3.425893e-06 -2.624617e-05 1.003006e-01 4.799157e-02
1.104139e+04 -2.500573e-06 -1.943135e-05 1.098864e-01 5.827336e-02
1.114222e+04 -1.754894e-06 -1.235861e-05 1.053929e-01 5.302360e-02
1.124305e+04 -2.507376e-06 -1.887474e-06 9.639518e-02 4.408264e-02
1.134388e+04 -2.941666e-06 -2.136910e-05 1.140089e-01 6.155525e-02
1.144471e+04 -2.350225e-06 -1.848919e-05 1.015670e-01 4.920282e-02
1.154554e+04 -2.283963e-06 -1.789818e-05 1.021239e-01 5.010571e-02
1.164637e+04 -1.213339e-06 -2.146875e-05 1.076214e-01 5.521781e-02
1.174720e+04 -9.511909e-07 -3.931014e-06 1.060610e-01 5.355871e-02
1.184803e+04 -1.429314e-06 -1.076018e-05 1.065373e-01 5.411441e-02
1.194911e+04 -2.118675e-06 -8.504059e-06 1.037852e-01 5.136407e-02
